hetnet	feature	nonzero	auroc	auprc	feature_type	permuted
rephetio-v2.0	CtDtCbGaD	0.70634	0.50287	0.31011	dwpc	0
rephetio-v2.0_perm-1	CtDtCbGaD	0.84817	0.46139	0.15955	dwpc	1
rephetio-v2.0_perm-2	CtDtCbGaD	0.80584	0.45998	0.15005	dwpc	1
rephetio-v2.0_perm-3	CtDtCbGaD	0.84465	0.46107	0.15336	dwpc	1
rephetio-v2.0_perm-4	CtDtCbGaD	0.85667	0.44361	0.14423	dwpc	1
rephetio-v2.0_perm-5	CtDtCbGaD	0.85148	0.46043	0.16027	dwpc	1
rephetio-v2.0	CtDtCtD	0.2865	0.71952	0.55619	dwpc	0
rephetio-v2.0_perm-1	CtDtCtD	0.50646	0.5215	0.13048	dwpc	1
rephetio-v2.0_perm-2	CtDtCtD	0.52042	0.4977	0.11578	dwpc	1
rephetio-v2.0_perm-3	CtDtCtD	0.50288	0.51009	0.13101	dwpc	1
rephetio-v2.0_perm-4	CtDtCtD	0.50026	0.51395	0.12443	dwpc	1
rephetio-v2.0_perm-5	CtDtCtD	0.49651	0.51743	0.13077	dwpc	1
